tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes,sentiment,weighted_score,features
tt0088240,movie,Tausend Augen,Tausend Augen,0,1984.0,92.0,"Drama,Thriller",5.3,82,0.0,6.612386337209303,Drama Thriller 1984.0
tt0105559,tvSeries,Tenchi Muyô!,Tenchi Muyô!,0,1992.0,30.0,"Adventure,Animation,Comedy",7.6,1865,0.0,7.466313258258717,Adventure Animation Comedy 1992.0
tt0374882,tvMovie,Moritz,Moritz,0,2003.0,87.0,Drama,6.4,87,0.0,6.788897363573567,Drama 2003.0
tt3289322,movie,Bike and Old Electronic Piano,Bike and Old Electronic Piano,0,2015.0,174.0,Documentary,8.1,14,0.1,6.909706408807064,Documentary 2015.0
tt2740874,movie,Two: The Story of Roman & Nyro,Two: The Story of Roman & Nyro,0,2013.0,71.0,"Biography,Documentary,Drama",7.1,37,0.0,6.888556414515717,Biography Documentary Drama 2013.0
tt1620971,movie,Sukhmani,Sukhmani,0,2010.0,30.0,Drama,5.7,26,0.0,6.8013359653257925,Drama 2010.0
tt2151639,short,Gladiatorial Combat,Gladiatorial Combat,0,1895.0,30.0,Short,5.0,9,0.0,6.830428966287241,Short 1895.0
tt7925600,tvEpisode,Zwiespalt,Zwiespalt,0,2018.0,88.0,Drama,8.2,10,0.0,6.900918618235168,Drama 2018.0
tt11130944,tvEpisode,Angelina Jolie,Angelina Jolie,0,2019.0,30.0,"Documentary,Short,Talk-Show",8.1,8,0.0,6.892941710339557,Documentary Short Talk-Show 2019.0
tt6321288,tvEpisode,Abschiede,Abschiede,0,2016.0,46.0,Drama,8.5,6,0.0,6.892908416520404,Drama 2016.0
tt6005584,tvEpisode,"Even So, Life Goes on #Aftermath","Even So, Life Goes on #Aftermath",0,2016.0,64.0,"Comedy,Drama,Romance",8.2,12,0.0,6.9069608572201195,Comedy Drama Romance 2016.0
tt9119838,tvEpisode,Parisian Legend Has It...,Parisian Legend Has It...,0,2019.0,42.0,Drama,8.9,263,0.0,7.6538813048526455,Drama 2019.0
tt1574518,short,A Small Town Duet,A Small Town Duet,0,2009.0,19.0,"Drama,Short",7.0,6,-0.25,6.8716820014260644,Drama Short 2009.0
tt0624466,tvEpisode,The Chase,The Chase,0,1969.0,50.0,Sci-Fi,7.7,31,0.0,6.927156277515928,Sci-Fi 1969.0
tt0759862,tvEpisode,Star Stuff,Star Stuff,0,2001.0,30.0,Documentary,8.0,34,0.0,6.954852142930645,Documentary 2001.0
tt0839935,movie,One of Our Own,One of Our Own,0,2007.0,30.0,Drama,6.4,94,0.6,6.78358040743096,Drama 2007.0
tt2884148,short,A Boy and His Atom: The World's Smallest Movie,A Boy and His Atom: The World's Smallest Movie,0,2013.0,2.0,"Animation,Short",6.8,266,0.0,6.842680071059432,Animation Short 2013.0
tt0446043,movie,Opie Gets Laid,Sunnyvale,0,2005.0,75.0,"Comedy,Romance",4.7,230,0.0,6.099680815747918,Comedy Romance 2005.0
